Common_Name,Scientific_Name,Has_photo,Has_species_account,Slug,Photo_attribution,Status1,Status2,Status3,Status4,State_list,Previous_state_list,Federal_list,IL_SGN,Pif_common_steep_decline,jv_focal_sp,iucn_red_list,road2recovery,SBC,BBS,CBC,BBA,CTAP,eBird,
American Golden-Plover,Pluvialis dominica,Y,N,american_golden_plover,Rob Kanter,Migrant,,,,,,,Y,,,,Very High Urgency,Y,N,Y,N,N,Y,
American Tree Sparrow,Spizelloides arborea,Y,N,american_tree_sparrow,Jennifer Mui,Migrant,Winter,,,,,,,,JV Focal Species,Least Concern,,Y,N,Y,N,N,Y,
Bay-breasted Warbler,Setophaga castanea,Y,N,bay_breasted_warbler,Rob Kanter,Migrant,,,,,,,Y,,,,,Y,N,Y,Y,N,Y,
Black-bellied Whistling Duck,Dendrocygna autumnalis,Y,N,black_bellied_whistling_duck,Ryan Askren,Rare Migrant,Rare Breeder,,,,,,,,,,,Y,N,Y,N,N,Y,
Common Loon,Gavia immer,Y,N,common_loon,Sarah Slayton,Migrant,,,,,,,,,,,,Y,N,Y,Y,N,Y,
Dunlin,Calidris alpina,Y,N,dunlin,Rob Kanter,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Palm Warbler,Setophaga palmarum,Y,N,palm_warbler,Jennifer Mui,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
Pectoral Sandpiper,Calidris melanotos,Y,N,pectoral_sandpiper,Rob Kanter,Migrant,,,,,,,Y,,,,High Urgency,Y,N,Y,N,Y,Y,
Piping Plover,Charadrius melodus,Y,N,piping_plover,Rob Kanter,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,Endangered,Y,,,Near Threatened,,Y,N,Y,N,N,N,
Ruddy Turnstone,Arenaria interpres,Y,N,ruddy_turnstone,Colin Dobson,Migrant,,,,,,,,,,,Very High Urgency,Y,N,Y,N,N,Y,
Swainson's Thrush,Catharus ustulatus,Y,N,swainsons_thrush,Patty Dickerson,Migrant,,,,,,,,,,,,Y,Y,Y,N,Y,Y,
White-crowned Sparrow,Zonotrichia leucophrys,Y,N,white_crowned_sparrow,Rob Kanter,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
White-throated Sparrow,Zonotrichia albicollis,Y,N,white_throated_sparrow,Patty Dickerson,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,N,Y,
Acadian Flycatcher,Empidonax virescens,N,Y,acadian_flycatcher,,Breeder,,,,,,,Y,,,,,Y,Y,N,Y,Y,Y,
Alder Flycatcher,Empidonax alnorum,N,Y,alder_flycatcher,,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
American Barn Owl,Tyto alba,N,Y,barn_owl,,Migrant,Breeder,Winter,,,"Endangered 1977-2011, Threatened 2011- 2015 (recovered)",,Y,,,,,Y,N,Y,Y,N,Y,
