Common_Name,Scientific_Name,Has_photo,Has_species_account,Slug,Photo_attribution,Status1,Status2,Status3,Status4,State_list,Previous_state_list,Federal_list,IL_SGN,Pif_common_steep_decline,jv_focal_sp,iucn_red_list,road2recovery,SBC,BBS,CBC,BBA,CTAP,eBird,
Painted Bunting,Passerina ciris,N,N,painted_bunting,,Vagrant,Rare Breeder,,,,,,,,,,,Y,N,N,N,N,N,
Parasitic Jaeger,Stercorarius parasiticus,N,N,parasitic_jaeger,,Rare Migrant,,,,,,,,,,,,N,N,Y,N,N,N,
Philadelphia Vireo,Vireo philadelphicus,N,N,philadelphia_vireo,,Migrant,,,,,,,,,,,,Y,N,N,N,Y,Y,
Pine Grosbeak,Pinicola enucleator,N,N,pine_grosbeak,,Vagrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Plumbeous Vireo,Vireo plumbeus,N,N,plumbeous_vireo,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Pomarine Jaeger,Stercorarius pomarinus,N,N,pomarine_jaeger,,Rare Migrant,,,,,,,,,,,,N,N,Y,N,N,N,
Prairie Falcon,Falco mexicanus,N,N,prairie_falcon,,Rare Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Purple Finch,Haemorhous purpureus,N,N,purple_finch,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,Y,Y,
Purple Gallinule,Porphyrio martinicus,N,N,purple_gallinule,,Vagrant,Rare Breeder,,,,Endangered 1977 - 1994 (Vagrant),,,Y,,,,Y,N,N,N,N,N,
Purple Sandpiper,Calidris maritima,N,N,purple_sandpiper,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Red Knot,Calidris canutus,N,N,red_knot,,Migrant,,,,Threatened,Threatened 2015 - 2020,Threatened,Y,,,,Very High Urgency,Y,N,N,N,N,N,
Red Phalarope,Phalaropus fulicarius,N,N,red_phalarope,,Migrant,,,,,,,,,,,,N,N,Y,N,N,N,
Red-breasted Merganser,Mergus serrator,N,N,red_breasted_merganser,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Red-cockaded Woodpecker,Dryobates borealis,N,N,red_cockaded_woodpecker,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Reddish Egret,Egretta rufescens,N,N,reddish_egret,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Redhead,Aythya americana,N,N,redhead,,Migrant,Rare Breeder,Winter,,,,,,,,,,Y,N,Y,Y,N,Y,
Red-naped Sapsucker,Sphyrapicus nuchalis,N,N,red_naped_sapsucker,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Red-necked Grebe,Podiceps grisegena,N,N,red_necked_grebe,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Red-necked Phalarope,Phalaropus lobatus,N,N,red_necked_phalarope,,Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
Red-throated Loon,Gavia stellata,N,N,red_throated_loon,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Ring-necked Duck,Aythya collaris,N,N,ring_necked_duck,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Rock Wren,Salpinctes obsoletus,N,N,rock_wren,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Roseate Spoonbill,Platalea ajaja,N,N,roseate_spoonbill,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Ross's Goose,Anser rossii,N,N,rosss_goose,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Ross's Gull,Rhodostethia rosea,N,N,rosss_gull,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Rough-legged Hawk,Buteo lagopus,N,N,rough_legged_hawk,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Royal Tern,Thalasseus maximus,N,N,royal_tern,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Ruby-crowned Kinglet,Regulus calendula,N,N,ruby_crowned_kinglet,,Migrant,Winter,,,,,,,,,,,Y,N,Y,Y,N,Y,
Ruff,Calidris pugnax,N,N,ruff,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Rufous Hummingbird,Selasphorus rufus,N,N,rufous_hummingbird,,Vagrant,,,,,,,,,,,High Urgency,N,N,Y,N,N,N,
Rusty Blackbird,Euphagus carolinus,N,N,rusty_blackbird,,Migrant,Winter,,,,,,Y,Y,JV Focal Species,Vulnerable,,Y,N,Y,N,N,Y,
Sabine's Gull,Xema sabini,N,N,sabines_gull,,Rare Migrant,,,,,,,,,,,,N,N,N,N,N,N,
Sage Thrasher,Oreoscoptes montanus,N,N,sage_thrasher,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Sanderling,Calidris alba,N,N,sanderling,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,N,
Sandwich Tern,Thalasseus sandvicensis,N,N,sandwich_tern,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Say's Phoebe,Sayornis saya,N,N,says_phoebe,,Vagrant ,Rare Breeder,,,,,,,,,,,Y,N,Y,N,N,N,
Scissor-tailed Flycatcher,Tyrannus forficatus,N,N,scissor_tailed_flycatcher,,Rare Migrant,Rare Breeder,,,,,,,,,,,Y,N,Y,N,N,N,
Scott's Oriole,Icterus parisorum,N,N,scotts_oriole,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Semipalmated Plover,Charadrius semipalmatus,N,N,semipalmated_plover,,Migrant,,,,,,,,,,,,Y,N,N,N,N,Y,
Semipalmated Sandpiper,Calidris pusilla,N,N,semipalmated_sandpiper,,Migrant,,,,,,,,,,Near Threatened,High Urgency,Y,N,N,N,Y,Y,
Sharp-tailed Grouse,Tympanuchus phasianellus,N,N,sharp_tailed_grouse,,Extirpated,,,,,,,,,,,,N,N,N,N,N,N,
Sharp-tailed Sandpiper,Calidris acuminata,N,N,sharp_tailed_sandpiper,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Short-billed Dowitcher,Limnodromus griseus,N,N,short_billed_dowitcher,,Migrant,,,,,,,Y,,,,Very High Urgency,Y,N,N,N,Y,Y,
Slaty-back Gull,Larus schistisagus,N,N,slaty_back_gull,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Small-billed Elaenia,Elaenia parvirostris,N,N,small_billed_elaenia,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Smith's Longspur,Calcarius pictus,N,N,smiths_longspur,,Migrant,,,,,,,Y,,,,,Y,N,N,N,N,N,
Snow Bunting,Plectrophenax nivalis,N,N,snow_bunting,,Migrant,Winter,,,,,,,Y,,,,N,N,Y,N,N,Y,
Snow Goose,Anser caerulescens,N,N,snow_goose,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Snowy Owl,Bubo scandiacus,N,N,snowy_owl,,Migrant,Winter,,,,,,,Y,,Vulernable,Moderate Urgency,Y,N,Y,Y,N,Y,
Snowy Plover,Charadrius nivosus,N,N,snowy_plover,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,Y,
Solitary Sandpiper,Tringa solitaria,N,N,solitary_sandpiper,,Migrant,,,,,,,,,,,,Y,N,N,N,Y,Y,
Sooty Tern,Onychoprion fuscatus,N,N,sooty_tern,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Spotted Towhee,Pipilo maculatus,N,N,spotted_towhee,,Rare Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Sprague's Pipit,Anthus spragueii,N,N,spragues_pipit,,Vagrant,,,,,,,,,,,Very High Urgency,N,N,Y,N,N,N,
Stilt Sandpiper,Calidris himantopus,N,N,stilt_sandpiper,,Migrant,,,,,,,,,,,High Urgency,Y,N,N,N,N,Y,
Surf Scoter,Melanitta perspicillata,N,N,surf_scoter,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Swallow-tailed Kite,Elanoides forficatus,N,N,swallow_tailed_kite,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Tennessee Warbler,Leiothlypis peregrina,N,N,tennessee_warbler,,Migrant,,,,,,,,,,,,Y,N,Y,Y,Y,Y,
Townsend's Warbler,Setophaga townsendi,N,N,townsends_warbler,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Towsend's Solitaire,Myadestes townsendi,N,N,towsends_solitaire,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Tricolored Heron,Egretta tricolor,N,N,tricolored_heron,,Vagrant,,,,,,,,,,,,Y,N,N,Y,N,N,
Tropical Kingbird,Tyrannus melancholicus,N,N,tropical_kingbird,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Trumpeter Swan,Cygnus buccinator,N,N,trumpeter_swan,,Migrant,Rare Breeder,Winter,,,,,Y,,,,,Y,N,Y,N,Y,Y,
Tufted Duck,Aythya fuligula,N,N,tufted_duck,,Vagrant,,,,,,,,,,,,N,N,Y,N,N,N,
Tundra Swan,Cygnus columbianus,N,N,tundra_swan,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Varied Thrush,Ixoreus naevius,N,N,varied_thrush,,Vagrant,,,,,,,,Y,,,,N,N,Y,N,N,N,
Vermilion Flycatcher,Pyrocephalus rubinus,N,N,vermilion_flycatcher,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Violet-green Swallow,Tachycineta thalassina,N,N,violet_green_swallow,,Vagrant,Rare Breeder,,,,,,,,,,,Y,N,N,N,N,N,
Wandering Tattler,Tringa incana,N,N,wandering_tattler,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Western Grebe,Aechmophorus occidentalis,N,N,western_grebe,,Rare Migrant,,,,,,,,,,,Moderate Urgency,Y,N,Y,N,N,N,
Western Kingbird,Tyrannus verticalis,N,N,western_kingbird,,Migrant,Rare Breeder,,,,,,,,,,,Y,Y,N,N,N,N,
Western Sandpiper,Calidris mauri,N,N,western_sandpiper,,Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
Western Tanager,Piranga ludoviciana,N,N,western_tanager,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
Whimbrel,Numenius phaeopus,N,N,whimbrel,,migrant,,,,,,,,,,,Very High Urgency,N,N,N,N,N,N,
White Ibis,Eudocimus albus,N,N,white_ibis,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
White-faced Ibis,Plegadis chihi,N,N,white_faced_ibis,,Migrant,,,,,,,,,,,,Y,N,N,N,N,Y,
White-rumped Sandpiper,Calidris fuscicollis,N,N,white_rumped_sandpiper,,Migrant,,,,,,,,,,,,Y,N,N,N,N,N,
White-tailed Kite,Elanus leucurus,N,N,white_tailed_kite,,Vagrant,,,,,,,,,,,,Y,N,N,N,N,N,
White-winged Crossbill,Loxia leucoptera,N,N,white_winged_crossbill,,Migrant,Rare Winter,,,,,,,,,,,Y,N,Y,N,N,N,
White-winged Dove,Zenaida asiatica,N,N,white_winged_dove,,Rare Migrant,Rare Breeder,,,,,,,,,,,Y,Y,Y,N,N,N,
White-winged Scoter,Melanitta deglandi,N,N,white_winged_scoter,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,N,
Whooping Crane,Grus americana,N,N,whooping_crane,,Migrant,,,,,,,Y,,,,,Y,N,N,N,N,N,
Willet,Tringa semipalmata,N,N,willet,,Migrant,,,,,,,,,,,,Y,N,N,N,Y,Y,
Williamson's Sapsucker,Sphyrapicus thyroideus,N,N,williamsons_sapsucker,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Wilson's Phalarope,Phalaropus tricolor,N,N,wilsons_phalarope,,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,N,Y,N,Y,
Wilson's Plover,Charadrius wilsonia,N,N,wilsons_plover,,Vagrant,,,,,,,,,,,,N,N,N,N,N,N,
Wilson's Warbler,Cardellina pusilla,N,N,wilsons_warbler,,Migrant,,,,,,,,Y,,,,Y,N,Y,N,Y,Y,
Winter Wren,Troglodytes hiemalis,N,N,winter_wren,,Migrant,Winter,,,,,,,,,,,Y,N,Y,N,N,Y,
Wood Stork,Mycteria americana,N,N,wood_stork,,Vagrant,,,,,,,,,,,,Y,N,N,Y,N,N,
Yellow Rail,Coturnicops noveboracensis,N,N,yellow_rail,,Rare Migrant,,,,,Endangered 1977 - 1999 (eYtirpated),,Y,,,,,Y,N,N,N,N,N,
Yellow-bellied Flycatcher,Empidonax flaviventris,N,N,yellow_bellied_flycatcher,,Migrant,,,,,,,,,,,,Y,N,N,Y,Y,Y,
Yellow-billed Loon,Gavia adamsii,N,N,yellow_billed_loon,,Vagrant,,,,,,,,,,,High Urgency,N,N,Y,N,N,N,
Yellow-rumped Warbler,Setophaga coronata,N,N,yellow_rumped_warbler,,Migrant,,,,,,,,,,,,Y,N,Y,N,N,Y,
